模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
Logistic,2.0,2.5,2.0,-0.118,-0.0677,-0.2569,-0.2135,0.3495
Logistic,1.5,3.0,1.5,-0.092,-0.0562,-0.2641,-0.164,0.3754
Logistic,1.5,2.0,1.0,-0.0565,-0.0375,-0.2641,-0.112,0.3754
Logistic,2.0,3.0,2.5,-0.1621,-0.0903,-0.2749,-0.2648,0.3495
Ridge,1.5,1.0,2.5,-0.132,-0.0771,-0.2782,-0.2676,0.2686
Logistic,1.0,2.5,1.0,-0.0648,-0.0431,-0.2834,-0.1225,0.4304
Ridge,1.5,1.0,3.0,-0.1721,-0.099,-0.2983,-0.3119,0.2686
XGBoost,1.5,3.0,2.0,-0.1346,-0.0821,-0.3066,-0.3585,0.3754
XGBoost,1.5,1.5,1.0,-0.0595,-0.0411,-0.3066,-0.1946,0.3754
XGBoost,2.0,2.5,1.0,-0.0607,-0.0418,-0.3069,-0.2,0.2783
XGBoost,1.0,3.0,1.5,-0.1235,-0.079,-0.3283,-0.3233,0.4466
XGBoost,1.0,2.0,1.0,-0.0771,-0.0527,-0.3283,-0.2268,0.4466
Logistic,2.0,2.0,2.0,-0.1411,-0.0903,-0.3473,-0.2243,0.3495
Logistic,2.0,3.0,3.0,-0.2284,-0.1354,-0.3473,-0.3259,0.3495
Logistic,2.0,2.5,2.5,-0.1838,-0.1129,-0.3473,-0.2761,0.3495
Logistic,2.0,1.0,1.0,-0.0636,-0.0451,-0.3473,-0.1153,0.3495
Logistic,2.0,1.5,1.5,-0.1009,-0.0677,-0.3473,-0.1707,0.3495
XGBoost,1.5,2.0,1.5,-0.1087,-0.0741,-0.3724,-0.2802,0.3754
Logistic,1.5,2.5,1.5,-0.1155,-0.0787,-0.3801,-0.164,0.3754
XGBoost,1.5,2.5,2.0,-0.1598,-0.1072,-0.4056,-0.3585,0.3754
Logistic,2.0,2.5,3.0,-0.2484,-0.158,-0.4083,-0.3362,0.3495
Logistic,2.0,2.0,2.5,-0.2052,-0.1354,-0.4206,-0.2873,0.3495
XGBoost,1.5,3.0,2.5,-0.2121,-0.1402,-0.4256,-0.4299,0.3754
Logistic,2.0,1.5,2.0,-0.1638,-0.1128,-0.439,-0.2364,0.3495
Logistic,1.5,1.5,1.0,-0.0815,-0.06,-0.4399,-0.112,0.3754
Logistic,1.5,3.0,2.0,-0.1753,-0.12,-0.4399,-0.2154,0.3754
XGBoost,1.0,2.5,1.5,-0.149,-0.104,-0.44,-0.3233,0.4466
Logistic,1.0,2.0,1.0,-0.0893,-0.0657,-0.4508,-0.1256,0.4304
Logistic,1.0,3.0,1.5,-0.1393,-0.0985,-0.4508,-0.186,0.4304
Logistic,2.0,1.0,1.5,-0.1248,-0.0903,-0.4697,-0.1838,0.3495
Logistic,2.0,2.0,3.0,-0.2681,-0.1805,-0.4697,-0.3465,0.3495
Logistic,2.0,1.5,2.5,-0.2261,-0.158,-0.4943,-0.2984,0.3495
XGBoost,1.0,3.0,2.0,-0.2209,-0.1554,-0.4967,-0.4111,0.4466
XGBoost,1.0,1.5,1.0,-0.1043,-0.0777,-0.4967,-0.2268,0.4466
Logistic,1.5,2.0,1.5,-0.1387,-0.1013,-0.5005,-0.169,0.3754
